I,S,1,5,4,L,events,market,_id,date,1xbetEvents,1xbetligue,1xbetdate,1xbetstamp,Id1xbet,events1xbet
1.215712240,1688302800,1,BR,32459624,Brazilian Copa Paulista,AA Portuguesa v Sao Jose EC SP,Asian Handicap,64a176afa905e3294715cb26,02 Jul 2023 15:00,"('AA Portuguesa Santista v Sao Jose Esporte Clube', 77.6, 0)",Brazil. Paulista Cup,02 Jul 2023 15:00,1688302800,461244594,AA Portuguesa Santista v Sao Jose Esporte Clube
1.215522892,1688302800,1,UY,32445349,Uruguayan Primera Division,Boston River v Danubio,Asian Handicap,64a176afa905e3294715cb37,02 Jul 2023 15:00,"('Club Atletico Boston River v Danubio', 100.0, 12)",Uruguay. Primera Division,02 Jul 2023 15:00,1688302800,461242354,Club Atletico Boston River v Danubio
1.215496661,1688302800,1,NO,32443558,Norwegian 1st Division,Bryne v Raufoss,Asian Handicap,64a176afa905e3294715cb48,02 Jul 2023 15:00,"('Bryne v Raufoss', 100.0, 7)",Norway. Adeccoligaen,02 Jul 2023 15:00,1688302800,461242466,Bryne v Raufoss
1.215604507,1688297700,1,CN,32452343,Chinese Super League,Cangzhou Mighty Lions v Zhejiang Greentown,Asian Handicap,64a176afa905e3294715cb59,02 Jul 2023 13:35,"('Cangzhou Mighty Lions v Zhejiang Professional', 86.0, 10)",China. Super League,02 Jul 2023 13:35,1688297700,461229694,Cangzhou Mighty Lions v Zhejiang Professional
1.215604615,1688297700,1,CN,32452342,Chinese Super League,Dalian Yifang v Qingdao Jonoon,Asian Handicap,64a176afa905e3294715cb64,02 Jul 2023 13:35,"('Dalian Pro v Qingdao Hainiu', 71.6, 13)",China. Super League,02 Jul 2023 13:35,1688297700,461229810,Dalian Pro v Qingdao Hainiu
1.215705797,1688299200,1,KE,32458946,Kenyan Matches,Darajani Gogo v Migori (Res),Asian Handicap,64a176afa905e3294715cb71,02 Jul 2023 14:00,"('Darajani Gogo v Migori Youth', 87.80000000000001, 15)",Kenya. Super League,02 Jul 2023 14:00,1688299200,461234714,Darajani Gogo v Migori Youth
1.215688165,1688297400,1,CN,32457921,Chinese League 1,Dongguan Guanlian v Guangxi Baoyun,Asian Handicap,64a176afa905e3294715cb82,02 Jul 2023 13:30,"('Dongguan Guanlian v Guangxi Pingguo Haliao', 86.6, 17)",China. League One,02 Jul 2023 13:30,1688297400,461229209,Dongguan Guanlian v Guangxi Pingguo Haliao
1.215630042,1688302800,1,SE,32454173,Swedish Women's Matches,Eskilstuna Utd (W) v Lidkopings FK (W),Asian Handicap,64a176afa905e3294715cb8b,02 Jul 2023 15:00,"('Eskilstuna United (Women) v Lidkopings (Women)', 82.6, 22)",Sweden. Elitettan. Women,02 Jul 2023 15:00,1688302800,461243219,Eskilstuna United (Women) v Lidkopings (Women)
1.215628215,1688302800,1,KZ,32453642,Kazakhstan Premier League,FK Kaspyi Aktau v FC Astana,Asian Handicap,64a176afa905e3294715cb9c,02 Jul 2023 15:00,"('Caspiy Aktau v Astana', 81.80000000000001, 11)",Kazakhstan. Premier League,02 Jul 2023 15:00,1688302800,461243615,Caspiy Aktau v Astana
1.215496751,1688302800,1,NO,32443552,Norwegian 1st Division,Fredrikstad v Ranheim IL,Asian Handicap,64a176afa905e3294715cbad,02 Jul 2023 15:00,"('Fredrikstad v Ranheim', 100.0, 24)",Norway. Adeccoligaen,02 Jul 2023 15:00,1688302800,461243778,Fredrikstad v Ranheim
1.215691165,1688299200,1,NO,32458030,Norwegian 3rd Division,Grorud 2 v Sandvikens,Asian Handicap,64a176afa905e3294715cbbe,02 Jul 2023 14:00,"('Grorud II v IL Sandviken', 79.2, 26)",Norway. Division 3,02 Jul 2023 14:00,1688299200,461233196,Grorud II v IL Sandviken
1.215081772,1688302800,1,SE,32410566,Swedish Allsvenskan,Halmstads v IFK Goteborg,Asian Handicap,64a176afa905e3294715cbcf,02 Jul 2023 15:00,"('Halmstads v Goteborg', 88.0, 28)",Sweden. Allsvenskan,02 Jul 2023 15:00,1688302800,461242661,Halmstads v Goteborg
1.215691907,1688302800,1,SE,32458126,Swedish Women's Matches,IFK Kalmar (W) v BK Hacken (W),Asian Handicap,64a176afa905e3294715cbe0,02 Jul 2023 15:00,"('IFK Kalmar (Women) v Hacken (Women)', 86.80000000000001, 29)",Sweden. Allsvenskan. Women,02 Jul 2023 15:00,1688302800,461243817,IFK Kalmar (Women) v Hacken (Women)
1.215691997,1688302800,1,SE,32458125,Swedish Women's Matches,KIF Orebro Dff (W) v Växjö DFF (W),Asian Handicap,64a176afa905e3294715cbf1,02 Jul 2023 15:00,"('Orebro (Women) v VAXJO DFF (Women)', 73.2, 52)",Sweden. Allsvenskan. Women,02 Jul 2023 15:00,1688302800,461243874,Orebro (Women) v VAXJO DFF (Women)
1.215705617,1688299200,1,KE,32458955,Kenyan Matches,Kisumu All Stars v Kibera Black Stars,Asian Handicap,64a176afa905e3294715cc02,02 Jul 2023 14:00,"('Kisumu All Stars v Kibera Black Stars', 100.0, 37)",Kenya. Super League,02 Jul 2023 14:00,1688299200,461234727,Kisumu All Stars v Kibera Black Stars
1.215647508,1688299200,1,NO,32455645,Norwegian 2nd Division,Kjelsas v Egersund,Asian Handicap,64a176afa905e3294715cc11,02 Jul 2023 14:00,"('Kjelsas v Egersunds', 98.80000000000001, 38)",Norway. Division 2,02 Jul 2023 14:00,1688299200,461234652,Kjelsas v Egersunds
1.215649387,1688299200,1,FI,32455903,Finnish Women's Matches,KuPs (W) v FC Honka Espoo (W),Asian Handicap,64a176afa905e3294715cc33,02 Jul 2023 14:00,"('KuPS Palloseura (Women) v Honka (Women)', 63.0, 39)",Finland. Kansallinen League. Women,02 Jul 2023 14:00,1688299200,461233597,KuPS Palloseura (Women) v Honka (Women)
1.215705707,1688299200,1,KE,32458947,Kenyan Matches,MCF v Gusii FC,Asian Handicap,64a176afa905e3294715cc42,02 Jul 2023 14:00,"(""Mully Children's Family v Gusii"", 65.2, 47)",Kenya. Super League,02 Jul 2023 14:00,1688299200,461233999,Mully Children's Family v Gusii
1.215604831,1688297700,1,CN,32452069,Chinese Super League,Nantong Zhiyun F.C v Meizhou Hakka,Asian Handicap,64a176afa905e3294715cc51,02 Jul 2023 13:35,"('Nantong Zhiyun v Meizhou Hakka', 92.19999999999999, 48)",China. Super League,02 Jul 2023 13:35,1688297700,461229784,Nantong Zhiyun v Meizhou Hakka
1.215104881,1688302800,1,SE,32412440,Swedish Allsvenskan,Norrkoping v Hacken,Asian Handicap,64a176afa905e3294715cc5d,02 Jul 2023 15:00,"('IFK Norrkoping v Hacken', 100.0, 30)",Sweden. Allsvenskan,02 Jul 2023 15:00,1688302800,461243062,IFK Norrkoping v Hacken
1.215692632,1688299200,1,ID,32458039,Indonesian Liga 1,PS Barito Putera v Persita Tangerang,Asian Handicap,64a176afa905e3294715cc6e,02 Jul 2023 14:00,"('PS Barito Putera v Persita Tangerang', 100.0, 53)",Indonesia. Liga 1,02 Jul 2023 14:00,1688299200,461233921,PS Barito Putera v Persita Tangerang
1.215692308,1688299200,1,EE,32458038,Estonian Esiliiga,Paide Linnameeskond II v Tabasalu JK,Asian Handicap,64a176afa905e3294715cc7b,02 Jul 2023 14:00,"('Paide Linnameeskond II v Tabasalu', 100.0, 54)",Estonia. Esiliiga,02 Jul 2023 14:00,1688299200,461232997,Paide Linnameeskond II v Tabasalu
1.215692398,1688302800,1,SE,32458153,Swedish Women's Matches,Rosengard (W) v IFK Norrkoping DFK (W),Asian Handicap,64a176afa905e3294715cc8c,02 Jul 2023 15:00,"('Rosengard (Women) v IFK Norrkoping (Women)', 89.4, 57)",Sweden. Allsvenskan. Women,02 Jul 2023 15:00,1688302800,461243058,Rosengard (Women) v IFK Norrkoping (Women)
1.215691255,1688299200,1,NO,32458040,Norwegian 3rd Division,Sandnes Ulf 2 v Stord,Asian Handicap,64a176afa905e3294715cc9d,02 Jul 2023 14:00,"('Sandnes Ulf II v Stord IL', 92.0, 58)",Norway. Division 3,02 Jul 2023 14:00,1688299200,461233389,Sandnes Ulf II v Stord IL
1.215688255,1688297400,1,CN,32457920,Chinese League 1,Shanghai Jiading v Jiangxi Liansheng,Asian Handicap,64a176afa905e3294715ccac,02 Jul 2023 13:30,"('Shanghai Jiading v Jiangxi Lushan', 90.6, 60)",China. League One,02 Jul 2023 13:30,1688297400,461230483,Shanghai Jiading v Jiangxi Lushan
1.215647418,1688299200,1,NO,32455646,Norwegian 2nd Division,Traeff v Arendal,Asian Handicap,64a176afa905e3294715ccbb,02 Jul 2023 14:00,"('Træff v Arendal', 89.4, 68)",Norway. Division 2,02 Jul 2023 14:00,1688299200,461234666,Træff v Arendal
1.215691817,1688302800,1,NO,32458127,Norwegian 2nd Division,Valerenga II v Orn Horten,Asian Handicap,64a176afa905e3294715cccc,02 Jul 2023 15:00,"('Valerenga II v Orn-Horten', 100.0, 71)",Norway. Division 2,02 Jul 2023 15:00,1688302800,461243957,Valerenga II v Orn-Horten
1.215687985,1688297400,1,CN,32457922,Chinese League 1,Wuxi Wugou v Sichuan Jiuniu FC,Asian Handicap,64a176afa905e3294715ccdd,02 Jul 2023 13:30,"('Wuxi Wugou v Sichuan Jiuniu', 100.0, 77)",China. League One,02 Jul 2023 13:30,1688297400,461229233,Wuxi Wugou v Sichuan Jiuniu
1.215690332,1688297400,1,CN,32457959,Chinese League 2,Yunnan Yukun v Chongqing Tonglianglong,Asian Handicap,64a176afa905e3294715cce9,02 Jul 2023 13:30,"('Yunnan Yukun v Chongqing Tongliangloong', 97.8, 78)",China. Second League,02 Jul 2023 13:30,1688297400,461229840,Yunnan Yukun v Chongqing Tongliangloong
